edge_id,source_node_id,target_node_id,length,car,car_reverse,bike,bike_reverse,foot
1,1,2,61,2,6,1,6,2
2,1,3,38,1,5,1,3,3
3,1,4,13,1,6,5,4,1
4,1,5,16,4,5,2,4,5
5,1,6,81,5,3,4,4,6
6,1,7,71,4,2,1,1,6
7,1,8,65,6,6,5,1,6
8,1,9,52,2,6,2,2,2
9,1,10,91,5,3,3,6,4
10,1,11,18,6,3,5,6,4
11,1,12,74,3,3,5,2,4
12,1,13,13,1,3,1,4,6
13,1,14,15,1,3,4,1,5
14,1,15,10,1,6,6,1,1
15,1,16,25,6,4,4,5,1
16,1,17,66,5,5,5,6,6
17,1,18,21,3,5,6,2,1
18,1,19,26,1,1,3,6,2
19,1,20,30,4,5,1,3,5
20,1,21,26,3,6,4,6,1
21,1,22,47,6,4,1,5,6
22,1,23,30,1,2,6,6,3
23,1,24,71,1,6,3,4,2
24,1,25,26,1,4,6,4,3
25,1,26,13,6,3,2,1,3
26,1,27,12,6,1,5,5,5
27,1,28,56,1,2,3,4,4
28,1,29,22,2,4,1,6,1
29,1,30,19,5,6,1,3,5
30,1,31,38,5,5,2,4,5
31,1,32,63,2,5,2,2,3
32,1,33,80,6,5,5,5,6
33,1,34,53,5,4,2,1,4
34,1,35,91,5,5,4,1,6
35,1,36,92,3,5,2,5,5
36,1,37,50,2,4,5,2,5
37,1,38,37,2,5,3,1,4
38,1,39,48,1,1,5,3,6
39,1,40,61,2,1,3,6,1
40,1,41,45,3,2,1,2,2
41,1,42,48,4,4,1,4,1
42,1,43,74,2,1,6,2,1
43,1,44,21,4,2,1,1,6
44,1,45,20,6,3,2,3,3
45,1,46,94,5,5,4,4,6
46,1,47,1,5,2,5,5,2
47,1,48,60,5,6,4,2,3
48,1,49,8,3,2,4,3,1
49,1,50,42,5,6,3,4,1
50,1,51,44,1,6,4,1,6
51,1,52,29,5,4,6,2,4
52,1,53,86,2,4,1,6,2
53,1,54,10,3,2,2,6,5
54,1,55,72,6,5,6,1,2
55,1,56,69,3,5,2,1,5
56,1,57,8,6,2,5,5,3
57,1,58,23,4,5,3,1,6
58,1,59,44,4,2,6,3,6
59,1,60,100,6,3,1,1,4
60,1,61,16,3,3,4,6,6
61,1,62,18,6,2,6,4,6
62,1,63,74,4,3,2,6,4
63,1,64,2,3,3,4,1,5
64,1,65,53,3,6,1,5,6
65,1,66,49,6,1,6,4,5
66,1,67,10,5,6,4,4,1
67,1,68,92,3,1,1,2,2
68,1,69,64,5,2,6,2,5
69,1,70,77,4,2,3,1,1
70,1,71,21,5,6,6,1,1
71,1,72,72,1,4,6,5,2
72,1,73,78,2,1,5,4,1
73,1,74,24,3,3,1,5,2
74,1,75,75,2,1,2,2,3
75,1,76,86,3,5,1,5,2
76,1,77,30,6,2,5,4,4
77,1,78,96,6,2,4,1,1
78,1,79,54,1,6,4,6,2
79,1,80,71,1,4,1,1,2
