id,longitude,latitude,altitude
30800555,-4.1510956,50.5474426,
30800556,-4.1487849,50.5490073,
30800558,-4.1464072,50.5497264,
30800561,-4.1426736,50.5514105,
30800563,-4.1409811,50.5519560,
30800568,-4.1391787,50.5518612,
30800570,-4.1368705,50.5523140,
30800571,-4.1344631,50.5531917,
30800572,-4.1326726,50.5550151,
30800573,-4.1315154,50.5558367,
30800574,-4.1304477,50.5566232,
30800575,-4.1302418,50.5568291,
30800576,-4.1293319,50.5585249,
30800578,-4.1286117,50.5611530,
31702801,-4.1680494,50.5396511,
31702809,-4.1651261,50.5399264,
31702812,-4.1630370,50.5405034,
31702816,-4.1616472,50.5416189,
31702818,-4.1602953,50.5423730,
31702820,-4.1582703,50.5432989,
31702826,-4.1544136,50.5454667,
31773990,-4.1748328,50.5604853,
31773991,-4.1730582,50.5597871,
31773992,-4.1717400,50.5591052,
31773993,-4.1664400,50.5554943,
31773994,-4.1576029,50.5520502,
31773996,-4.1566116,50.5483931,
31773997,-4.1563469,50.5477441,
31773998,-4.1535982,50.5474741,
31773999,-4.1530997,50.5476535,
31774001,-4.1406153,50.5511394,
31774002,-4.1384622,50.5512714,
31774003,-4.1372256,50.5511818,
31774004,-4.1335349,50.5521294,
31774005,-4.1312834,50.5523615,
31774006,-4.1284924,50.5524225,
31774007,-4.1262741,50.5529208,
170706584,-4.1277630,50.5284459,
170706585,-4.1285913,50.5293564,
170706588,-4.1300697,50.5305738,
170706592,-4.1306416,50.5312922,
170706595,-4.1307307,50.5315776,
170706599,-4.1306095,50.5319913,
170706603,-4.1301957,50.5323767,
170706605,-4.1299270,50.5326543,
170706607,-4.1298729,50.5329750,
170706609,-4.1302740,50.5337357,
170706673,-4.1306965,50.5341400,
170706675,-4.1314698,50.5345694,
170706676,-4.1322225,50.5349875,
170706678,-4.1330556,50.5353645,
170706683,-4.1338312,50.5355889,
170706688,-4.1348837,50.5359032,
170706690,-4.1361679,50.5364774,
170706693,-4.1374917,50.5370443,
170706695,-4.1380882,50.5373397,
170706702,-4.1389233,50.5378702,
170706704,-4.1396252,50.5385264,
170706707,-4.1405013,50.5394260,
170706709,-4.1420399,50.5408425,
170706712,-4.1426846,50.5416655,
170706717,-4.1432791,50.5425711,
170706723,-4.1440087,50.5439387,
170706727,-4.1445998,50.5452102,
170706729,-4.1447876,50.5458021,
170706731,-4.1446402,50.5461450,
170706734,-4.1441944,50.5468150,
170706736,-4.1434189,50.5483701,
170706741,-4.1426281,50.5498959,
170706745,-4.1421317,50.5502713,
170706749,-4.1416101,50.5505859,
170706751,-4.1411011,50.5508867,
170706757,-4.1408500,50.5510319,
170706760,-4.1408409,50.5512941,
170706764,-4.1411206,50.5514945,
170706769,-4.1414726,50.5518863,
170706773,-4.1369038,50.5512159,
264041828,-4.1157432,50.5416864,
264041832,-4.1242917,50.5393270,
264041833,-4.1254028,50.5376706,
264041834,-4.1264607,50.5364349,
264041835,-4.1273343,50.5349558,
264041836,-4.1275049,50.5345362,
264041837,-4.1289669,50.5339957,
276983824,-4.1296327,50.5521828,
276983825,-4.1302580,50.5522168,
276985482,-4.1433265,50.5489744,
276985484,-4.1466771,50.5484492,
276985485,-4.1482099,50.5476406,
276985486,-4.1513066,50.5460246,
290291258,-4.1269675,50.5527985,
290291259,-4.1259679,50.5528483,
290344548,-4.1531861,50.5456857,
290344550,-4.1419855,50.5517497,
290344551,-4.1436368,50.5507847,
290344552,-4.1462325,50.5486750,
290344553,-4.1481665,50.5483579,
290344554,-4.1521975,50.5466614,
290344558,-4.1494724,50.5485301,
290344559,-4.1475907,50.5479687,
290344560,-4.1518156,50.5468615,
290344564,-4.1469211,50.5495890,
290344565,-4.1506797,50.5478171,
290344566,-4.1530501,50.5461760,
290344567,-4.1513668,50.5467532,
290344570,-4.1539291,50.5458041,
290344571,-4.1465740,50.5489877,
290344572,-4.1483094,50.5483167,
290344573,-4.1499201,50.5482660,
290344574,-4.1537215,50.5458890,
290344577,-4.1532404,50.5460851,
290344581,-4.1533757,50.5458754,
290344585,-4.1524574,50.5454294,
290344586,-4.1530600,50.5455137,
290344587,-4.1527590,50.5449792,
290344588,-4.1527339,50.5453808,
290344589,-4.1526353,50.5452294,
290344590,-4.1529035,50.5452664,
290344591,-4.1526163,50.5452513,
290344592,-4.1528778,50.5452298,
290344593,-4.1527709,50.5453814,
290344594,-4.1526473,50.5448187,
290344595,-4.1527105,50.5451952,
290344596,-4.1526096,50.5453075,
290344597,-4.1528975,50.5453192,
290344598,-4.1528029,50.5451953,
290344599,-4.1528663,50.5453962,
290344600,-4.1525886,50.5453976,
290344601,-4.1525757,50.5452951,
290344602,-4.1527066,50.5451340,
290344603,-4.1527086,50.5449047,
290344604,-4.1528227,50.5451229,
290344605,-4.1528483,50.5453619,
290344611,-4.1526540,50.5453563,
290344620,-4.1527949,50.5450595,
290344628,-4.1510722,50.5434867,
290344631,-4.1509337,50.5433640,
290344635,-4.1508316,50.5431169,
290344636,-4.1508231,50.5429931,
290344638,-4.1509029,50.5419072,
290344639,-4.1506707,50.5403564,
290344640,-4.1505775,50.5400873,
290344641,-4.1502882,50.5397620,
290344642,-4.1501235,50.5396043,
290344643,-4.1499642,50.5395040,
290344645,-4.1496530,50.5393052,
290344646,-4.1497660,50.5394010,
290344647,-4.1474643,50.5381895,
290344648,-4.1474396,50.5380828,
290344649,-4.1472388,50.5380478,
290344650,-4.1471686,50.5380803,
290344653,-4.1473458,50.5382567,
290344655,-4.1472474,50.5382544,
290344656,-4.1471418,50.5381911,
290344658,-4.1473898,50.5379190,
290344659,-4.1473273,50.5377130,
290344661,-4.1472891,50.5376557,
290344663,-4.1469864,50.5374317,
290344664,-4.1464047,50.5370077,
290344666,-4.1472267,50.5365514,
290344667,-4.1477365,50.5364786,
290344669,-4.1470035,50.5368758,
290344671,-4.1477296,50.5374243,
290344672,-4.1477061,50.5374773,
290344674,-4.1477296,50.5376293,
290344675,-4.1476325,50.5378740,
290344677,-4.1475701,50.5376359,
290344679,-4.1474938,50.5375984,
290344680,-4.1466891,50.5372160,
290344682,-4.1471331,50.5369706,
290344683,-4.1468477,50.5367617,
290344685,-4.1475215,50.5365051,
290344687,-4.1465558,50.5371183,
290344689,-4.1472932,50.5370879,
290344690,-4.1468321,50.5373208,
290344692,-4.1476678,50.5373623,
290344693,-4.1472184,50.5376039,
290344695,-4.1475511,50.5372768,
290344697,-4.1471025,50.5375190,
290344698,-4.1474347,50.5371916,
290344700,-4.1473639,50.5376637,
290344701,-4.1478605,50.5374374,
290344703,-4.1473381,50.5370326,
290344704,-4.1481981,50.5365842,
290344709,-4.1470003,50.5379031,
290344710,-4.1467350,50.5377934,
290344712,-4.1470387,50.5374825,
290344713,-4.1472465,50.5376898,
290344715,-4.1469674,50.5375627,
290344717,-4.1470588,50.5376507,
290344718,-4.1476079,50.5384390,
290344720,-4.1467539,50.5380393,
290344721,-4.1474368,50.5382196,
290344723,-4.1472931,50.5380402,
290344726,-4.1308118,50.5336062,
290344730,-4.1353937,50.5324703,
290344731,-4.1359695,50.5317778,
290344733,-4.1368575,50.5314052,
290344736,-4.1379452,50.5321805,
290344741,-4.1384516,50.5325304,
290344743,-4.1389101,50.5330620,
290344745,-4.1391422,50.5330224,
290344747,-4.1391721,50.5332124,
290344748,-4.1389909,50.5332282,
290344750,-4.1388864,50.5331495,
290344752,-4.1398960,50.5335258,
290344753,-4.1405534,50.5340358,
290344755,-4.1414477,50.5348998,
290344757,-4.1419707,50.5354194,
290344758,-4.1431160,50.5362363,
290344760,-4.1441791,50.5368284,
290344761,-4.1474091,50.5480591,
290344762,-4.1466275,50.5475548,
290344763,-4.1453302,50.5481819,
290344764,-4.1451203,50.5479582,
290344765,-4.1459761,50.5473734,
290344766,-4.1452447,50.5482504,
290344767,-4.1449907,50.5479881,
290344768,-4.1460107,50.5472691,
290344769,-4.1465143,50.5476829,
290344771,-4.1437819,50.5473949,
290344772,-4.1432280,50.5488296,
290344773,-4.1432860,50.5489851,
290344774,-4.1431401,50.5488807,
290344775,-4.1433112,50.5488343,
290344776,-4.1431902,50.5488401,
290344777,-4.1431331,50.5489065,
290344778,-4.1433775,50.5488803,
290344779,-4.1434514,50.5489384,
290344780,-4.1433752,50.5489542,
290344781,-4.1433072,50.5486719,
290344782,-4.1431894,50.5491195,
290344785,-4.1432703,50.5488274,
290344786,-4.1433844,50.5489012,
290344788,-4.1431787,50.5490275,
290344789,-4.1432473,50.5490358,
290344791,-4.1432524,50.5489868,
290344792,-4.1432565,50.5487650,
290344794,-4.1433112,50.5487739,
290344795,-4.1434242,50.5489237,
303553384,-4.1264548,50.5532547,
303553391,-4.1250588,50.5557378,
303555721,-4.1289144,50.5332204,
304257130,-4.1336482,50.5286720,
304257136,-4.1353471,50.5300951,
304257137,-4.1357993,50.5305640,
305164906,-4.1514254,50.5437767,
305164907,-4.1517076,50.5433775,
305164908,-4.1521367,50.5422218,
305164909,-4.1520322,50.5416849,
305164910,-4.1515225,50.5404916,
305164911,-4.1521602,50.5392188,
305164913,-4.1529516,50.5379576,
305164914,-4.1536340,50.5362517,
305165476,-4.1467225,50.5313938,
305165477,-4.1466839,50.5319728,
305165478,-4.1467804,50.5328106,
305165479,-4.1473603,50.5341009,
305165480,-4.1476926,50.5347710,
305165482,-4.1477516,50.5353013,
305165483,-4.1481318,50.5361785,
305165485,-4.1486471,50.5367464,
305165486,-4.1490610,50.5370316,
305165488,-4.1491889,50.5378745,
305165489,-4.1497093,50.5390853,
310395633,-4.1447580,50.5456581,
310395634,-4.1442532,50.5458620,
310395635,-4.1426729,50.5457569,
310395636,-4.1417603,50.5456898,
310395637,-4.1401943,50.5455154,
310395638,-4.1394076,50.5453267,
310395639,-4.1386635,50.5449662,
310395640,-4.1380849,50.5446622,
310395641,-4.1364683,50.5444242,
310395645,-4.1324072,50.5439274,
310395646,-4.1319668,50.5439054,
310395647,-4.1316294,50.5440182,
310395648,-4.1297561,50.5438672,
310395649,-4.1293117,50.5438560,
310395650,-4.1289767,50.5446584,
310395651,-4.1282702,50.5447988,
310395652,-4.1270264,50.5443384,
310395653,-4.1254118,50.5438322,
310395654,-4.1234211,50.5434382,
310395656,-4.1205382,50.5428215,
310395657,-4.1191065,50.5424710,
310395658,-4.1172589,50.5420333,
310395659,-4.1163819,50.5418229,
310395695,-4.1367043,50.5512550,
310395700,-4.1335333,50.5498425,
310395701,-4.1334217,50.5496776,
310395702,-4.1331258,50.5493073,
310395703,-4.1329443,50.5490611,
310395704,-4.1321820,50.5484335,
310395705,-4.1314791,50.5477115,
310395706,-4.1308492,50.5470902,
310395707,-4.1303425,50.5465220,
310395708,-4.1297140,50.5459038,
310395709,-4.1288816,50.5452223,
312793202,-4.1659715,50.5398162,
312793203,-4.1669855,50.5397169,
312795080,-4.1561063,50.5473827,
312795081,-4.1544991,50.5471880,
312795082,-4.1539550,50.5473149,
312795083,-4.1534024,50.5475661,
312795084,-4.1525060,50.5474932,
312795085,-4.1529319,50.5476494,
312795086,-4.1521189,50.5473003,
312795087,-4.1518735,50.5472747,
312795088,-4.1516730,50.5473425,
312795089,-4.1508552,50.5477845,
312795090,-4.1367522,50.5520096,
312795091,-4.1363429,50.5522694,
312795092,-4.1380265,50.5514459,
314458916,-4.1493584,50.5497017,
314458919,-4.1486176,50.5494005,
314458920,-4.1477478,50.5507466,
314458921,-4.1497049,50.5543968,
314458922,-4.1485760,50.5493320,
314458923,-4.1472645,50.5509248,
314458924,-4.1510364,50.5499572,
314458925,-4.1485692,50.5492860,
314458926,-4.1483501,50.5504763,
314458927,-4.1544122,50.5510521,
314458928,-4.1485241,50.5492396,
314458929,-4.1477655,50.5507071,
314458931,-4.1483837,50.5505220,
314458932,-4.1485203,50.5491745,
314458933,-4.1479565,50.5506842,
314458934,-4.1488271,50.5501554,
314458935,-4.1506616,50.5498937,
314458936,-4.1483669,50.5504981,
314458937,-4.1496223,50.5496606,
314458938,-4.1528092,50.5482294,
314458939,-4.1535084,50.5478392,
314458940,-4.1535347,50.5477686,
314458941,-4.1511855,50.5488665,
314458942,-4.1503901,50.5492158,
314458943,-4.1524304,50.5502905,
314458944,-4.1496064,50.5495492,
314458945,-4.1494672,50.5491891,
314458946,-4.1496747,50.5493256,
314458948,-4.1496578,50.5492478,
314458949,-4.1489347,50.5493167,
